plant,pollinator,lat_bin,lon_bin,overlap
Asclepias syriaca,Danaus plexippus,43.5,-85.5,0.4398268398268398
Asclepias syriaca,Danaus plexippus,40.5,-93.0,0.3054662379421222
Asclepias syriaca,Danaus plexippus,34.5,-79.5,0.18370361769107707
Asclepias syriaca,Danaus plexippus,39.0,-88.5,0.1973410336841488
Asclepias syriaca,Danaus plexippus,40.5,-84.0,0.38504897431158747
Asclepias syriaca,Danaus plexippus,39.0,-79.5,0.2496498599439776
Asclepias syriaca,Danaus plexippus,45.0,-93.0,0.3979127134724858
Trillium grandiflorum,Chalcosyrphus libo,42.0,-72.0,0.5449735449735449
Trillium grandiflorum,Chalcosyrphus libo,43.5,-73.5,0.18684962835906233
Asclepias syriaca,Euphyes vestris,40.5,-82.5,0.5566714490674318
Asclepias syriaca,Euphyes vestris,37.5,-96.0,0.125
Asclepias syriaca,Euphyes vestris,37.5,-87.0,0.2708333333333333
Asclepias syriaca,Euphyes vestris,36.0,-82.5,0.5614925373134328
Asclepias syriaca,Euphyes vestris,37.5,-78.0,0.31538929440389296
Asclepias syriaca,Euphyes vestris,42.0,-78.0,0.4698544698544699
Asclepias syriaca,Euphyes vestris,43.5,-90.0,0.6299019607843137
Asclepias syriaca,Euphyes vestris,34.5,-84.0,0.31556372549019607
Asclepias syriaca,Euphyes vestris,43.5,-72.0,0.5764282038085435
Asclepias syriaca,Euphyes vestris,39.0,-84.0,0.28026634382566584
Asclepias syriaca,Euphyes vestris,39.0,-75.0,0.45707070707070707
Asclepias syriaca,Euphyes vestris,37.5,-85.5,0.38015064244572444
Asclepias syriaca,Euphyes vestris,42.0,-85.5,0.4437751004016064
Asclepias syriaca,Euphyes vestris,37.5,-76.5,0.3533113575067426
Asclepias syriaca,Euphyes vestris,42.0,-76.5,0.46875
Asclepias syriaca,Euphyes vestris,34.5,-82.5,0.46096096096096095
Asclepias syriaca,Euphyes vestris,43.5,-70.5,0.4139309764309764
Asclepias syriaca,Euphyes vestris,40.5,-75.0,0.4832600859216829
Asclepias syriaca,Euphyes vestris,40.5,-73.5,0.39943714821763604
Asclepias syriaca,Euphyes vestris,42.0,-90.0,0.521585557299843
Asclepias syriaca,Euphyes vestris,37.5,-81.0,0.7759562841530054
