plant,feature,contrast,auc
Eremalche exilis,delta_local,vs co-occurring,0.85625
Eremalche exilis,N,vs random,1.0
Eremalche exilis,N,vs co-occurring,0.9924999999999999
Cylindropuntia echinocarpa,delta,vs random,0.9362500000000001
Cylindropuntia echinocarpa,delta,vs co-occurring,0.8520833333333334
Cylindropuntia echinocarpa,delta_local,vs random,0.99
Cylindropuntia echinocarpa,delta_local,vs co-occurring,0.915
Cylindropuntia echinocarpa,N,vs random,0.9983333333333332
Cylindropuntia echinocarpa,N,vs co-occurring,0.989375
Asclepias speciosa,delta,vs random,0.9178669565479965
Asclepias speciosa,delta,vs co-occurring,0.8398795180722892
Asclepias speciosa,delta_local,vs random,0.9445903916417551
Asclepias speciosa,delta_local,vs co-occurring,0.8587650602409639
Asclepias speciosa,N,vs random,0.9791043874747108
Asclepias speciosa,N,vs co-occurring,0.9366716867469879
Clarkia cylindrica,delta,vs random,0.8624999999999999
Clarkia cylindrica,delta,vs co-occurring,0.7308333333333332
Clarkia cylindrica,delta_local,vs random,0.9558333333333333
Clarkia cylindrica,delta_local,vs co-occurring,0.6916666666666665
Clarkia cylindrica,N,vs random,0.9920833333333333
Clarkia cylindrica,N,vs co-occurring,0.9141666666666667
Hamamelis virginiana,delta,vs random,0.9490625
Hamamelis virginiana,delta,vs co-occurring,0.9168750000000001
Hamamelis virginiana,delta_local,vs random,0.9596875
Hamamelis virginiana,delta_local,vs co-occurring,0.928125
Hamamelis virginiana,N,vs random,0.981875
Hamamelis virginiana,N,vs co-occurring,0.9514843749999999
Geranium viscosissimum,delta,vs random,0.7290787945473439
Geranium viscosissimum,delta,vs co-occurring,0.5567987804878048
Geranium viscosissimum,delta_local,vs random,0.8430527538358091
Geranium viscosissimum,delta_local,vs co-occurring,0.4870426829268293
Geranium viscosissimum,N,vs random,0.8570206002811909
Geranium viscosissimum,N,vs co-occurring,0.5675609756097562
Rhodotypos scandens,delta,vs random,0.86375
Rhodotypos scandens,delta,vs co-occurring,0.7875
Rhodotypos scandens,delta_local,vs random,0.901875
Rhodotypos scandens,delta_local,vs co-occurring,0.776875
Rhodotypos scandens,N,vs random,0.9807812499999999
Rhodotypos scandens,N,vs co-occurring,0.95
Chylismia cardiophylla,delta,vs random,0.9700000000000001
Chylismia cardiophylla,delta,vs co-occurring,0.9075000000000001
Chylismia cardiophylla,delta_local,vs random,0.9933333333333334
Chylismia cardiophylla,delta_local,vs co-occurring,0.9475
Chylismia cardiophylla,N,vs random,1.0
Chylismia cardiophylla,N,vs co-occurring,0.9820833333333333
Hypericum tetrapetalum,delta,vs random,0.8655
Hypericum tetrapetalum,delta,vs co-occurring,0.7090000000000001
Hypericum tetrapetalum,delta_local,vs random,0.9590000000000001
Hypericum tetrapetalum,delta_local,vs co-occurring,0.7610000000000001
Hypericum tetrapetalum,N,vs random,0.98475
Hypericum tetrapetalum,N,vs co-occurring,0.9325
Platanthera grandiflora,delta,vs random,0.9133333333333333
Platanthera grandiflora,delta,vs co-occurring,0.7875
Platanthera grandiflora,delta_local,vs random,0.9483333333333335
Platanthera grandiflora,delta_local,vs co-occurring,0.79125
Platanthera grandiflora,N,vs random,0.9754166666666667
Platanthera grandiflora,N,vs co-occurring,0.9179166666666667
Cordylanthus rigidus,delta,vs random,0.86975
Cordylanthus rigidus,delta,vs co-occurring,0.8225
Cordylanthus rigidus,delta_local,vs random,0.96675
Cordylanthus rigidus,delta_local,vs co-occurring,0.80375
Cordylanthus rigidus,N,vs random,0.98425
Cordylanthus rigidus,N,vs co-occurring,0.9099999999999999
Wahlenbergia marginata,delta,vs random,0.8775
Wahlenbergia marginata,delta,vs co-occurring,0.76875
Wahlenbergia marginata,delta_local,vs random,0.98125
Wahlenbergia marginata,delta_local,vs co-occurring,0.965
Wahlenbergia marginata,N,vs random,0.953125
Wahlenbergia marginata,N,vs co-occurring,0.915625
Erigeron divergens,delta,vs random,0.6532738095238095
Erigeron divergens,delta,vs co-occurring,0.530625
Erigeron divergens,delta_local,vs random,0.6111372180451128
Erigeron divergens,delta_local,vs co-occurring,0.29125
Erigeron divergens,N,vs random,0.6054981203007519
Erigeron divergens,N,vs co-occurring,0.2609375
Trichostema parishii,delta,vs random,0.89875
Trichostema parishii,delta,vs co-occurring,0.7475
Trichostema parishii,delta_local,vs random,0.9743750000000001
Trichostema parishii,delta_local,vs co-occurring,0.825625
Trichostema parishii,N,vs random,0.9975
Trichostema parishii,N,vs co-occurring,0.9875
Callicarpa americana,delta,vs random,0.8817525125628141
Callicarpa americana,delta,vs co-occurring,0.79296875
Callicarpa americana,delta_local,vs random,0.9214824120603016
Callicarpa americana,delta_local,vs co-occurring,0.79953125
Callicarpa americana,N,vs random,0.9660018844221105
Callicarpa americana,N,vs co-occurring,0.913203125
Anisocoma acaulis,delta,vs random,0.765
Anisocoma acaulis,delta,vs co-occurring,0.57875
Anisocoma acaulis,delta_local,vs random,0.9125
Anisocoma acaulis,delta_local,vs co-occurring,0.47375
Anisocoma acaulis,N,vs random,0.9693749999999999
Anisocoma acaulis,N,vs co-occurring,0.8300000000000001
Oenothera suffulta,delta,vs random,0.8574999999999999
Oenothera suffulta,delta,vs co-occurring,0.6858333333333333
Oenothera suffulta,delta_local,vs random,0.9775
Oenothera suffulta,delta_local,vs co-occurring,0.9075
Oenothera suffulta,N,vs random,0.9970833333333333
Oenothera suffulta,N,vs co-occurring,0.98375
Vinca minor,delta,vs random,0.86066517645465
Vinca minor,delta,vs co-occurring,0.7939864864864865
Vinca minor,delta_local,vs random,0.8893856262277315
Vinca minor,delta_local,vs co-occurring,0.8090540540540541
Vinca minor,N,vs random,0.9555984555984556
Vinca minor,N,vs co-occurring,0.92625
Salix gooddingii,delta,vs random,0.95
Salix gooddingii,delta,vs co-occurring,0.9059999999999999
Salix gooddingii,delta_local,vs random,0.9775
Salix gooddingii,delta_local,vs co-occurring,0.8905
Salix gooddingii,N,vs random,0.9817499999999999
Salix gooddingii,N,vs co-occurring,0.9365
Turnera ulmifolia,delta,vs random,0.895952380952381
Turnera ulmifolia,delta,vs co-occurring,0.7929761904761904
Turnera ulmifolia,delta_local,vs random,0.963452380952381
Turnera ulmifolia,delta_local,vs co-occurring,0.836547619047619
Turnera ulmifolia,N,vs random,0.9920833333333334
Turnera ulmifolia,N,vs co-occurring,0.9655357142857143
Chiococca alba,delta,vs random,0.8268749999999999
Chiococca alba,delta,vs co-occurring,0.59375
Chiococca alba,delta_local,vs random,0.8475
Chiococca alba,delta_local,vs co-occurring,0.6556250000000001
Chiococca alba,N,vs random,0.8528125
Chiococca alba,N,vs co-occurring,0.7165625
Hypochaeris glabra,delta,vs random,0.8570833333333333
Hypochaeris glabra,delta,vs co-occurring,0.7604166666666667
Hypochaeris glabra,delta_local,vs random,0.9383333333333334
Hypochaeris glabra,delta_local,vs co-occurring,0.8070833333333334
Hypochaeris glabra,N,vs random,0.9466666666666667
Hypochaeris glabra,N,vs co-occurring,0.8406250000000001
Vaccinium corymbosum,delta,vs random,0.7384953015882592
Vaccinium corymbosum,delta,vs co-occurring,0.6150224550898203
Vaccinium corymbosum,delta_local,vs random,0.7976440066969336
Vaccinium corymbosum,delta_local,vs co-occurring,0.5876047904191617
Vaccinium corymbosum,N,vs random,0.8045294800826558
Vaccinium corymbosum,N,vs co-occurring,0.5945134730538921
Rhizophora mangle,delta,vs random,0.9225000000000001
Rhizophora mangle,delta,vs co-occurring,0.72625
Rhizophora mangle,delta_local,vs random,0.99
Rhizophora mangle,delta_local,vs co-occurring,0.9500000000000001
Rhizophora mangle,N,vs random,0.995625
Rhizophora mangle,N,vs co-occurring,0.9624999999999999
Stenanthium gramineum,delta,vs random,0.64
Stenanthium gramineum,delta,vs co-occurring,0.37517857142857136
Stenanthium gramineum,delta_local,vs random,0.6582142857142858
Stenanthium gramineum,delta_local,vs co-occurring,0.26982142857142855
Stenanthium gramineum,N,vs random,0.6716964285714286
Stenanthium gramineum,N,vs co-occurring,0.35294642857142855
Dichanthelium clandestinum,delta,vs random,0.9540000000000001
Dichanthelium clandestinum,delta,vs co-occurring,0.884
Dichanthelium clandestinum,delta_local,vs random,0.961
Dichanthelium clandestinum,delta_local,vs co-occurring,0.8625
Dichanthelium clandestinum,N,vs random,0.976
Dichanthelium clandestinum,N,vs co-occurring,0.94125
Lycium barbarum,delta,vs random,0.887
Lycium barbarum,delta,vs co-occurring,0.739
Lycium barbarum,delta_local,vs random,0.9395
Lycium barbarum,delta_local,vs co-occurring,0.784
Lycium barbarum,N,vs random,0.9665
Lycium barbarum,N,vs co-occurring,0.8822500000000001
Cynoglossum officinale,delta,vs random,0.7223863636363637
Cynoglossum officinale,delta,vs co-occurring,0.5545833333333333
Cynoglossum officinale,delta_local,vs random,0.7687121212121213
Cynoglossum officinale,delta_local,vs co-occurring,0.5214393939393939
Cynoglossum officinale,N,vs random,0.8064772727272728
Cynoglossum officinale,N,vs co-occurring,0.6236742424242423
Asclepias incarnata,delta,vs random,0.8751727450038714
Asclepias incarnata,delta,vs co-occurring,0.8500924124513619
Asclepias incarnata,delta_local,vs random,0.8937458957747306
Asclepias incarnata,delta_local,vs co-occurring,0.8406322957198443
Asclepias incarnata,N,vs random,0.9405659175332504
Asclepias incarnata,N,vs co-occurring,0.8892217898832687
Petasites frigidus,delta,vs random,0.8961363636363636
Petasites frigidus,delta,vs co-occurring,0.8445454545454546
Petasites frigidus,delta_local,vs random,0.9368181818181819
Petasites frigidus,delta_local,vs co-occurring,0.8713636363636363
Petasites frigidus,N,vs random,0.9881818181818183
Petasites frigidus,N,vs co-occurring,0.9698863636363635
Comarum palustre,delta,vs random,0.7625
Comarum palustre,delta,vs co-occurring,0.5237499999999999
Comarum palustre,delta_local,vs random,0.901875
Comarum palustre,delta_local,vs co-occurring,0.6737500000000001
Comarum palustre,N,vs random,0.97
Comarum palustre,N,vs co-occurring,0.9128125
Dudleya edulis,delta,vs random,0.9465329991645782
Dudleya edulis,delta,vs co-occurring,0.8425000000000001
Dudleya edulis,delta_local,vs random,0.9899749373433584
Dudleya edulis,delta_local,vs co-occurring,0.8704166666666666
Dudleya edulis,N,vs random,0.9864243943191312
Dudleya edulis,N,vs co-occurring,0.8460416666666667
Boltonia diffusa,delta,vs random,0.8957393483709273
Boltonia diffusa,delta,vs co-occurring,0.751
Boltonia diffusa,delta_local,vs random,0.8804511278195488
Boltonia diffusa,delta_local,vs co-occurring,0.7565
Boltonia diffusa,N,vs random,0.8604010025062656
Boltonia diffusa,N,vs co-occurring,0.64025
Oenothera speciosa,delta,vs random,0.8785947920649081
Oenothera speciosa,delta,vs co-occurring,0.8234745762711864
Oenothera speciosa,delta_local,vs random,0.8884074593262818
Oenothera speciosa,delta_local,vs co-occurring,0.8212288135593221
Oenothera speciosa,N,vs random,0.936557495433499
Oenothera speciosa,N,vs co-occurring,0.9154449152542373
Eryngium aristulatum,delta,vs random,0.99125
Eryngium aristulatum,delta,vs co-occurring,0.9674999999999999
Eryngium aristulatum,delta_local,vs random,0.9975
Eryngium aristulatum,delta_local,vs co-occurring,0.9662499999999999
Eryngium aristulatum,N,vs random,0.99875
Eryngium aristulatum,N,vs co-occurring,0.9825
Commelina diffusa,delta,vs random,0.8208333333333334
Commelina diffusa,delta,vs co-occurring,0.615
Commelina diffusa,delta_local,vs random,0.9833333333333334
Commelina diffusa,delta_local,vs co-occurring,0.9475
Commelina diffusa,N,vs random,0.9924999999999999
Commelina diffusa,N,vs co-occurring,0.9808333333333333
Liatris quadriflora,delta,vs random,0.9464285714285714
Liatris quadriflora,delta,vs co-occurring,0.8410714285714286
Liatris quadriflora,delta_local,vs random,0.9721428571428571
Liatris quadriflora,delta_local,vs co-occurring,0.7910714285714285
Liatris quadriflora,N,vs random,0.9932142857142856
Liatris quadriflora,N,vs co-occurring,0.9658928571428572
Dicentra eximia,delta,vs random,0.8775000000000001
Dicentra eximia,delta,vs co-occurring,0.7831250000000001
Dicentra eximia,delta_local,vs random,0.9129166666666667
Dicentra eximia,delta_local,vs co-occurring,0.8045833333333333
Dicentra eximia,N,vs random,0.97875
Dicentra eximia,N,vs co-occurring,0.938125
Corydalis aurea,delta,vs random,0.7659999999999999
Corydalis aurea,delta,vs co-occurring,0.676
Corydalis aurea,delta_local,vs random,0.8455
Corydalis aurea,delta_local,vs co-occurring,0.744
Corydalis aurea,N,vs random,0.93625
Corydalis aurea,N,vs co-occurring,0.88575
Diospyros virginiana,delta,vs random,0.7909546593757119
Diospyros virginiana,delta,vs co-occurring,0.7069318181818182
Diospyros virginiana,delta_local,vs random,0.8185805422647527
Diospyros virginiana,delta_local,vs co-occurring,0.6803409090909092
Diospyros virginiana,N,vs random,0.8519024834814308
Diospyros virginiana,N,vs co-occurring,0.7480681818181819
