plant,degree,genus_seen,r10_rank_n,hit_rank_n,r10_rank_tax,hit_rank_tax,r10_rank_n_tax,hit_rank_n_tax,r10_rank_n_tax_ldelta,hit_rank_n_tax_ldelta,r10_rank_full_tax,hit_rank_full_tax,r10_hyb_n_tax,hit_hyb_n_tax,r10_hyb_n_ldelta,hit_hyb_n_ldelta,r10_hyb_n_tax_ldelta,hit_hyb_n_tax_ldelta
Ehretia anacua,3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
Elaeagnus angustifolia,11,True,0.09090909090909091,1.0,0.0,0.0,0.2727272727272727,1.0,0.2727272727272727,1.0,0.0,0.0,0.09090909090909091,1.0,0.09090909090909091,1.0,0.09090909090909091,1.0
Elephantopus tomentosus,11,True,0.2727272727272727,1.0,0.09090909090909091,1.0,0.09090909090909091,1.0,0.09090909090909091,1.0,0.18181818181818182,1.0,0.2727272727272727,1.0,0.2727272727272727,1.0,0.2727272727272727,1.0
Elymus virginicus,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Epilobium brachycarpum,8,True,0.125,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.125,1.0,0.125,1.0,0.125,1.0
Eremalche exilis,2,False,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eremogone congesta,4,True,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.25,1.0
Ericameria cuneata,5,True,0.4,1.0,0.6,1.0,0.6,1.0,0.6,1.0,0.6,1.0,0.4,1.0,0.4,1.0,0.4,1.0
Ericameria parishii,10,True,0.0,0.0,0.3,1.0,0.3,1.0,0.3,1.0,0.3,1.0,0.0,0.0,0.1,1.0,0.1,1.0
Ericameria resinosa,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erigeron divergens,16,True,0.0,0.0,0.0625,1.0,0.0625,1.0,0.0625,1.0,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Erigeron speciosus,55,True,0.0,0.0,0.10909090909090909,1.0,0.10909090909090909,1.0,0.10909090909090909,1.0,0.10909090909090909,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Eriocaulon compressum,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eriodictyon angustifolium,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eriogonum gracile,4,True,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.25,1.0,0.0,0.0,0.25,1.0
